v2Version|v3Version|codegenVersion|timestamp|commit|language|job|spec|generate outcome|build outcome|spec url
2.4.31|3.0.41|v2|2023_04_02_19_52_08|708091465c7fc1b38cf647946db0e031f7c48153|python-flask|python-flask|petstore|success|failure|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v2/petstore.json
2.4.31|3.0.41|v2|2023_04_02_19_52_08|708091465c7fc1b38cf647946db0e031f7c48153|python-flask|python-flask|petstore-with-fake-endpoints|success|failure|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/modules/swagger-codegen/src/test/resources/2_0/petstore-with-fake-endpoints-models-for-testing.yaml
2.4.31|3.0.41|v3|2023_04_02_19_52_08|708091465c7fc1b38cf647946db0e031f7c48153|python-flask|python-flask-v3|petstore3|success|failure|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstore3.json
2.4.31|3.0.41|v3|2023_04_02_19_52_08|708091465c7fc1b38cf647946db0e031f7c48153|python-flask|python-flask-v3|petstoreMixed3|success|failure|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstoreMixed3.yaml
2.4.31|3.0.41|v3|2023_04_02_19_52_08|708091465c7fc1b38cf647946db0e031f7c48153|python-flask|python-flask-v3|petstore3fake|success|failure|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstore3fake.yaml
2.4.31|3.0.41|v3|2023_04_02_19_52_08|708091465c7fc1b38cf647946db0e031f7c48153|python-flask|python-flask-v3|petstore3composed|success|failure|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstore3composed.yaml
2.4.31|3.0.41|v2|2023_04_02_19_52_08|708091465c7fc1b38cf647946db0e031f7c48153|scalaz|scalaz|petstore|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v2/petstore.json
2.4.31|3.0.41|v2|2023_04_02_19_52_08|708091465c7fc1b38cf647946db0e031f7c48153|scalaz|scalaz|petstore-with-fake-endpoints|success|failure|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/modules/swagger-codegen/src/test/resources/2_0/petstore-with-fake-endpoints-models-for-testing.yaml
2.4.31|3.0.41|v2|2023_04_02_19_52_08|708091465c7fc1b38cf647946db0e031f7c48153|spring|spring-stubs|petstore|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v2/petstore.json
2.4.31|3.0.41|v2|2023_04_02_19_52_08|708091465c7fc1b38cf647946db0e031f7c48153|spring|spring-stubs|petstore-with-fake-endpoints|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/modules/swagger-codegen/src/test/resources/2_0/petstore-with-fake-endpoints-models-for-testing.yaml
2.4.31|3.0.41|v3|2023_04_02_19_52_08|708091465c7fc1b38cf647946db0e031f7c48153|spring|spring-delegate-j8-v3|petstore3|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstore3.json
2.4.31|3.0.41|v3|2023_04_02_19_52_08|708091465c7fc1b38cf647946db0e031f7c48153|spring|spring-delegate-j8-v3|petstoreMixed3|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstoreMixed3.yaml
2.4.31|3.0.41|v3|2023_04_02_19_52_08|708091465c7fc1b38cf647946db0e031f7c48153|spring|spring-delegate-j8-v3|petstore3fake|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstore3fake.yaml
