v2Version|v3Version|codegenVersion|timestamp|commit|language|job|spec|generate outcome|build outcome|spec url
2.4.29|3.0.36|v2|2023_01_10_15_14_32|f32cdcfd9fffca9845645a15054886a3f17e966e|javascript|js|petstorefake|failure|error|https://raw.githubusercontent.com/swagger-api/swagger-codegen-test/specifications/immutable/specifications/v2/petstorefake.yaml
2.4.29|3.0.36|v2|2023_01_10_15_14_32|f32cdcfd9fffca9845645a15054886a3f17e966e|javascript|js|petstore|failure|error|https://raw.githubusercontent.com/swagger-api/swagger-codegen-test/specifications/immutable/specifications/v2/petstore.json
2.4.29|3.0.36|v3|2023_01_10_15_14_32|f32cdcfd9fffca9845645a15054886a3f17e966e|javascript|js-v3|petstore3|success|error|https://raw.githubusercontent.com/swagger-api/swagger-codegen-test/specifications/immutable/specifications/v3/petstore3.json
2.4.29|3.0.36|v3|2023_01_10_15_14_32|f32cdcfd9fffca9845645a15054886a3f17e966e|javascript|js-v3|petstore3fake|success|error|https://raw.githubusercontent.com/swagger-api/swagger-codegen-test/specifications/immutable/specifications/v3/petstore3fake.yaml
2.4.29|3.0.36|v2|2023_01_10_15_14_32|f32cdcfd9fffca9845645a15054886a3f17e966e|java|java-jersey2|petstorefake|failure|error|https://raw.githubusercontent.com/swagger-api/swagger-codegen-test/specifications/immutable/specifications/v2/petstorefake.yaml
2.4.29|3.0.36|v2|2023_01_10_15_14_32|f32cdcfd9fffca9845645a15054886a3f17e966e|java|java-jersey2|petstore|failure|error|https://raw.githubusercontent.com/swagger-api/swagger-codegen-test/specifications/immutable/specifications/v2/petstore.json
2.4.29|3.0.36|v3|2023_01_10_15_14_32|f32cdcfd9fffca9845645a15054886a3f17e966e|java|java-v3|petstore3|success|error|https://raw.githubusercontent.com/swagger-api/swagger-codegen-test/specifications/immutable/specifications/v3/petstore3.json
2.4.29|3.0.36|v3|2023_01_10_15_14_32|f32cdcfd9fffca9845645a15054886a3f17e966e|java|java-v3|petstore3fake|success|error|https://raw.githubusercontent.com/swagger-api/swagger-codegen-test/specifications/immutable/specifications/v3/petstore3fake.yaml
2.4.29|3.0.36|v3|2023_01_10_15_14_32|f32cdcfd9fffca9845645a15054886a3f17e966e|python|python-v3|petstore3|success|error|https://raw.githubusercontent.com/swagger-api/swagger-codegen-test/specifications/immutable/specifications/v3/petstore3.json
2.4.29|3.0.36|v3|2023_01_10_15_14_32|f32cdcfd9fffca9845645a15054886a3f17e966e|python|python-v3|petstore3fake|success|error|https://raw.githubusercontent.com/swagger-api/swagger-codegen-test/specifications/immutable/specifications/v3/petstore3fake.yaml
2.4.29|3.0.36|v2|2023_01_10_15_14_32|f32cdcfd9fffca9845645a15054886a3f17e966e|python|python|petstorefake|failure|error|https://raw.githubusercontent.com/swagger-api/swagger-codegen-test/specifications/immutable/specifications/v2/petstorefake.yaml
2.4.29|3.0.36|v2|2023_01_10_15_14_32|f32cdcfd9fffca9845645a15054886a3f17e966e|python|python|petstore|failure|error|https://raw.githubusercontent.com/swagger-api/swagger-codegen-test/specifications/immutable/specifications/v2/petstore.json
2.4.29|3.0.36|v2|2023_01_11_12_20_01|f32cdcfd9fffca9845645a15054886a3f17e966e|java|java-jersey2|petstore|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v2/petstore.json
2.4.29|3.0.36|v2|2023_01_11_12_20_01|f32cdcfd9fffca9845645a15054886a3f17e966e|java|java-jersey2|petstorefake|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v2/petstorefake.yaml
2.4.29|3.0.36|v3|2023_01_11_12_20_01|f32cdcfd9fffca9845645a15054886a3f17e966e|java|java-v3|petstore3fake|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstore3fake.yaml
2.4.29|3.0.36|v3|2023_01_11_12_20_01|f32cdcfd9fffca9845645a15054886a3f17e966e|java|java-v3|petstore3|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstore3.json
2.4.29|3.0.36|v2|2023_01_11_12_20_01|f32cdcfd9fffca9845645a15054886a3f17e966e|python|python|petstore|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v2/petstore.json
2.4.29|3.0.36|v2|2023_01_11_12_20_01|f32cdcfd9fffca9845645a15054886a3f17e966e|python|python|petstorefake|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v2/petstorefake.yaml
2.4.29|3.0.36|v3|2023_01_11_12_20_01|f32cdcfd9fffca9845645a15054886a3f17e966e|python|python-v3|petstore3fake|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstore3fake.yaml
2.4.29|3.0.36|v3|2023_01_11_12_20_01|f32cdcfd9fffca9845645a15054886a3f17e966e|python|python-v3|petstore3|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstore3.json
2.4.29|3.0.36|v3|2023_01_11_12_20_01|f32cdcfd9fffca9845645a15054886a3f17e966e|javascript|js-v3|petstore3fake|success|failure|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstore3fake.yaml
2.4.29|3.0.36|v3|2023_01_11_12_20_01|f32cdcfd9fffca9845645a15054886a3f17e966e|javascript|js-v3|petstore3|success|failure|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v3/petstore3.json
2.4.29|3.0.36|v2|2023_01_11_12_20_01|f32cdcfd9fffca9845645a15054886a3f17e966e|javascript|js|petstore|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v2/petstore.json
2.4.29|3.0.36|v2|2023_01_11_12_20_01|f32cdcfd9fffca9845645a15054886a3f17e966e|javascript|js|petstorefake|success|success|https://raw.githubusercontent.com/swagger-api/swagger-codegen/d7d5b9a97447f40e130e132cdf0cf7ee7c626cb8/fixtures/immutable/specifications/v2/petstorefake.yaml
